# Observation File: water_balance.csv column names:
# -----------------------------------------------------------------------------
# Observation Name: time [h]
# -----------------------------------------------------------------------------
# Observation Name: runoff generation [mol s^-1]
# Region: surface domain boundary
# Reduction: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: gate intake ponded depth [m]
# Region: gate intake area
# Reduction: average
# Variable: surface-ponded_depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: gate intake stage [m]
# Region: gate intake area
# Reduction: average
# Variable: surface-pres_elev
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: detention pond ponded depth [m]
# Region: detention pond
# Reduction: average
# Variable: surface-ponded_depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: detention pond stage [m]
# Region: detention pond
# Reduction: average
# Variable: surface-pres_elev
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: subsurface water content [mol]
# Region: computational domain
# Reduction: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: precipitation [m s^-1]
# Region: surface domain
# Reduction: average
# Variable: surface-water_source_rain
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: gate flow [mol s^-1]
# Region: gate intake area
# Reduction: integral
# Variable: surface-gate_flow
# Number of Vectors: 1
# =============================================================================
"time [h]","runoff generation [mol s^-1]","gate intake ponded depth [m]","gate intake stage [m]","detention pond ponded depth [m]","detention pond stage [m]","surface water content [mol]","subsurface water content [mol]","precipitation [m s^-1]","gate flow [mol s^-1]"
1.300000000000e+00,8.621437405051e+01,2.823542099219e-02,8.273891259585e+00,2.077777574995e-03,7.341754716696e+00,7.441029492751e+07,2.802441432669e+10,6.661208838967e-06,0.000000000000e+00
1.400000000000e+00,9.394377407802e+02,6.189957350391e-02,8.307555412096e+00,2.274451475863e-03,7.341951390597e+00,9.771732276924e+07,2.802450964958e+10,6.661208838967e-06,0.000000000000e+00
1.500000000000e+00,3.927524264068e+03,1.056369056924e-01,8.351292744285e+00,2.472047789644e-03,7.342148986911e+00,1.199473634409e+08,2.802460624843e+10,6.661208838967e-06,0.000000000000e+00
1.600000000000e+00,8.892897830217e+03,1.504869939416e-01,8.396142832534e+00,2.670197887669e-03,7.342347137009e+00,1.403943118832e+08,2.802469840507e+10,6.661208838967e-06,0.000000000000e+00
1.700000000000e+00,1.415849354389e+04,1.856686174839e-01,8.431324456076e+00,3.977422073291e-03,7.343654361195e+00,1.588883280200e+08,2.802484788268e+10,6.661208838967e-06,-1.137470779466e+03
1.800000000000e+00,1.790802495610e+04,2.057075260982e-01,8.451363364691e+00,8.399623808784e-03,7.348076562930e+00,1.762904699135e+08,2.802504153902e+10,6.661208838967e-06,-4.818025016743e+03
1.900000000000e+00,2.081214622504e+04,2.214147896538e-01,8.467070628246e+00,1.733571016847e-02,7.357012649290e+00,1.924231103324e+08,2.802515707422e+10,6.661208838967e-06,-7.701818092031e+03
2.000000000000e+00,2.349742004130e+04,2.350435386984e-01,8.480699377291e+00,2.915695816611e-02,7.368833897287e+00,2.076051732954e+08,2.802525648833e+10,6.661208838967e-06,-1.018653067576e+04
2.100000000000e+00,2.482104546759e+04,2.407134329414e-01,8.486369271534e+00,4.188253245052e-02,7.381559471572e+00,1.990954821189e+08,2.802530541612e+10,1.332241767793e-07,-1.097340998230e+04
2.200000000000e+00,2.576877096190e+04,2.450946463202e-01,8.490750484913e+00,5.316988794327e-02,7.392846827064e+00,1.902724869569e+08,2.802532647919e+10,1.332241767793e-07,-9.726519737000e+03
2.300000000000e+00,2.753945273917e+04,2.538749971750e-01,8.499530835767e+00,6.137832396475e-02,7.401055263086e+00,1.810013317321e+08,2.802533001528e+10,1.332241767793e-07,-6.114350722944e+03
2.400000000000e+00,2.841274072394e+04,2.573224436365e-01,8.502978282229e+00,6.562358841853e-02,7.405300527540e+00,1.712679149906e+08,2.802530966516e+10,1.332241767793e-07,-3.608427563390e+03
2.500000000000e+00,2.813004427950e+04,2.553593075004e-01,8.501015146093e+00,6.855420579278e-02,7.408231144914e+00,1.616123370589e+08,2.802527659668e+10,1.332241767793e-07,-2.252660476562e+03
2.600000000000e+00,2.693876114743e+04,2.494395708640e-01,8.495095409456e+00,7.054137795290e-02,7.410218317074e+00,1.523126061797e+08,2.802523062454e+10,1.332241767793e-07,-1.473906717820e+03
2.700000000000e+00,2.526787973743e+04,2.412149083496e-01,8.486870746942e+00,7.192899894547e-02,7.411605938067e+00,1.435902374380e+08,2.802517420495e+10,1.332241767793e-07,-1.013613161917e+03
2.800000000000e+00,2.341275329740e+04,2.318400168305e-01,8.477495855423e+00,7.294177911048e-02,7.412618718232e+00,1.355336467096e+08,2.802510821203e+10,1.332241767793e-07,-7.137635021239e+02
2.900000000000e+00,2.155287709449e+04,2.220872092838e-01,8.467743047876e+00,7.366401668264e-02,7.413340955804e+00,1.283284283417e+08,2.802502920560e+10,1.332241767793e-07,-5.077729377877e+02
3.000000000000e+00,1.978913577325e+04,2.124141256424e-01,8.458069964235e+00,7.422741992298e-02,7.413904359044e+00,1.217670687064e+08,2.802494128330e+10,1.332241767793e-07,-3.531194212046e+02
3.100000000000e+00,1.815137387808e+04,2.030062787601e-01,8.448662117352e+00,7.466154041333e-02,7.414338479535e+00,1.158005362628e+08,2.802484813230e+10,1.332241767793e-07,-2.324111105508e+02
3.200000000000e+00,1.665285231940e+04,1.939883630682e-01,8.439644201661e+00,7.499110634339e-02,7.414668045465e+00,1.103773559577e+08,2.802475109695e+10,1.332241767793e-07,-1.346595489355e+02
3.300000000000e+00,1.527348606113e+04,1.852846494272e-01,8.430940488020e+00,7.526243353834e-02,7.414939372660e+00,1.053349898584e+08,2.802464869393e+10,1.332241767793e-07,-5.118915535103e+01
3.400000000000e+00,1.403749460643e+04,1.771147823108e-01,8.422770620903e+00,7.546556326674e-02,7.415142502388e+00,1.008630898742e+08,2.802454190918e+10,1.332241767793e-07,0.000000000000e+00
3.500000000000e+00,1.289963130061e+04,1.692139357103e-01,8.414869774303e+00,7.566707573758e-02,7.415344014859e+00,9.679998968283e+07,2.802443572616e+10,1.332241767793e-07,0.000000000000e+00
3.600000000000e+00,1.186942679871e+04,1.617526871966e-01,8.407408525789e+00,7.586755411636e-02,7.415544493238e+00,9.310695694759e+07,2.802433056388e+10,1.332241767793e-07,0.000000000000e+00
3.700000000000e+00,1.094283014562e+04,1.547488477428e-01,8.400404686335e+00,7.606716738022e-02,7.415744106501e+00,8.974627745752e+07,2.802422663559e+10,1.332241767793e-07,0.000000000000e+00
3.800000000000e+00,1.009666869138e+04,1.480714665564e-01,8.393727305149e+00,7.626563096503e-02,7.415942570086e+00,8.661500191264e+07,2.802412378446e+10,1.332241767793e-07,0.000000000000e+00
3.900000000000e+00,9.349088475322e+03,1.419311448752e-01,8.387586983467e+00,7.646282462852e-02,7.416139763750e+00,8.382520772224e+07,2.802402296544e+10,1.332241767793e-07,0.000000000000e+00
4.000000000000e+00,8.677289866977e+03,1.361911138662e-01,8.381846952459e+00,7.665875227810e-02,7.416335691399e+00,8.127565072107e+07,2.802392382978e+10,1.332241767793e-07,0.000000000000e+00
4.100000000000e+00,8.072489214588e+03,1.308243903534e-01,8.376480228946e+00,7.685324839567e-02,7.416530187517e+00,7.894216446822e+07,2.802382634998e+10,1.332241767793e-07,0.000000000000e+00
4.200000000000e+00,7.527009322462e+03,1.258052081510e-01,8.371461046743e+00,7.704559001850e-02,7.416722529140e+00,7.680314562894e+07,2.802373046664e+10,1.332241767793e-07,0.000000000000e+00
4.300000000000e+00,7.026080999277e+03,1.210281790319e-01,8.366684017624e+00,7.723691235612e-02,7.416913851477e+00,7.479920589151e+07,2.802363587138e+10,1.332241767793e-07,0.000000000000e+00
4.400000000000e+00,6.580125538515e+03,1.166344541401e-01,8.362290292732e+00,7.742734157907e-02,7.417104280700e+00,7.299802106321e+07,2.802354316808e+10,1.332241767793e-07,0.000000000000e+00
4.500000000000e+00,6.175966973896e+03,1.125222561462e-01,8.358178094739e+00,7.761616786231e-02,7.417293106984e+00,7.134072938264e+07,2.802345192865e+10,1.332241767793e-07,0.000000000000e+00
4.600000000000e+00,5.808948220198e+03,1.086716746650e-01,8.354327513257e+00,7.780385478178e-02,7.417480793903e+00,6.981421003370e+07,2.802336204914e+10,1.332241767793e-07,0.000000000000e+00
4.700000000000e+00,5.475046042278e+03,1.050642451619e-01,8.350720083754e+00,7.799048868124e-02,7.417667427802e+00,6.840690905570e+07,2.802327314247e+10,1.332241767793e-07,0.000000000000e+00
4.800000000000e+00,5.165987973818e+03,1.016272044447e-01,8.347283043037e+00,7.817629831354e-02,7.417853237435e+00,6.708316274550e+07,2.802318476794e+10,1.332241767793e-07,0.000000000000e+00
4.900000000000e+00,4.888304017477e+03,9.845753303347e-02,8.344113371626e+00,7.836063844154e-02,7.418037577563e+00,6.588469897024e+07,2.802309819425e+10,1.332241767793e-07,0.000000000000e+00
5.000000000000e+00,4.634492338816e+03,9.548414253245e-02,8.341139981125e+00,7.854420978182e-02,7.418221148903e+00,6.477634458281e+07,2.802301294543e+10,1.332241767793e-07,0.000000000000e+00
5.100000000000e+00,4.402071884596e+03,9.269336963692e-02,8.338349208229e+00,7.872680261103e-02,7.418403741732e+00,6.375030254314e+07,2.802292905320e+10,1.332241767793e-07,0.000000000000e+00
5.200000000000e+00,4.188902206444e+03,9.007279208938e-02,8.335728630682e+00,7.890844251445e-02,7.418585381636e+00,6.279987291250e+07,2.802284629257e+10,1.332241767793e-07,0.000000000000e+00
5.300000000000e+00,3.990178983680e+03,8.757219724075e-02,8.333228035833e+00,7.908938408664e-02,7.418766323208e+00,6.190266992042e+07,2.802276432554e+10,1.332241767793e-07,0.000000000000e+00
5.400000000000e+00,3.810135773241e+03,8.525920839802e-02,8.330915046990e+00,7.926920225769e-02,7.418946141379e+00,6.108645389406e+07,2.802268369782e+10,1.332241767793e-07,0.000000000000e+00
5.500000000000e+00,3.644315484358e+03,8.308390239718e-02,8.328739740989e+00,7.944815372925e-02,7.419125092850e+00,6.032902296620e+07,2.802260398454e+10,1.332241767793e-07,0.000000000000e+00
5.600000000000e+00,3.491346100753e+03,8.103708406207e-02,8.326692922654e+00,7.962626201534e-02,7.419303201137e+00,5.962610631736e+07,2.802252482878e+10,1.332241767793e-07,0.000000000000e+00
5.700000000000e+00,3.350036186661e+03,7.911024441103e-02,8.324766083003e+00,7.980355217957e-02,7.419480491301e+00,5.897323490160e+07,2.802244648606e+10,1.332241767793e-07,0.000000000000e+00
5.800000000000e+00,3.217470815045e+03,7.726843504893e-02,8.322924273641e+00,7.998023764995e-02,7.419657176771e+00,5.835564557664e+07,2.802236888866e+10,1.332241767793e-07,0.000000000000e+00
5.900000000000e+00,3.096484707105e+03,7.555963562054e-02,8.321215474213e+00,8.015595436427e-02,7.419832893485e+00,5.779217206949e+07,2.802229244254e+10,1.332241767793e-07,0.000000000000e+00
6.000000000000e+00,2.984339240505e+03,7.394890979634e-02,8.319604748389e+00,8.033091084761e-02,7.420007849969e+00,5.726825156594e+07,2.802221681472e+10,1.332241767793e-07,0.000000000000e+00
6.100000000000e+00,2.880250541812e+03,7.243005415356e-02,8.318085892746e+00,8.050513293143e-02,7.420182072053e+00,5.678095696199e+07,2.802214203342e+10,1.332241767793e-07,0.000000000000e+00
6.200000000000e+00,2.783535590563e+03,7.099737480546e-02,8.316653213398e+00,8.067863614687e-02,7.420355575268e+00,5.632766517764e+07,2.802206806654e+10,1.332241767793e-07,0.000000000000e+00
6.300000000000e+00,2.692345691250e+03,6.962611064706e-02,8.315281949239e+00,8.085160363608e-02,7.420528542757e+00,5.589872718976e+07,2.802199451255e+10,1.332241767793e-07,0.000000000000e+00
6.400000000000e+00,2.608646384684e+03,6.835101998492e-02,8.314006858577e+00,8.102371313424e-02,7.420700652255e+00,5.550713956590e+07,2.802192179354e+10,1.332241767793e-07,0.000000000000e+00
6.500000000000e+00,2.530671359868e+03,6.714709288066e-02,8.312802931473e+00,8.119517191150e-02,7.420872111033e+00,5.514292432075e+07,2.802184977721e+10,1.332241767793e-07,0.000000000000e+00
6.600000000000e+00,2.457951391922e+03,6.601003058316e-02,8.311665869175e+00,8.136601270673e-02,7.421042951828e+00,5.480439400945e+07,2.802177825241e+10,1.332241767793e-07,0.000000000000e+00
6.700000000000e+00,2.390072984304e+03,6.493583373742e-02,8.310591672330e+00,8.153624647268e-02,7.421213185594e+00,5.448969329037e+07,2.802170734113e+10,1.332241767793e-07,0.000000000000e+00
6.800000000000e+00,2.325811431769e+03,6.390657807433e-02,8.309562416667e+00,8.170608384623e-02,7.421383022967e+00,5.419233879895e+07,2.802163652997e+10,1.332241767793e-07,0.000000000000e+00
6.900000000000e+00,2.266559090567e+03,6.294781130831e-02,8.308603649901e+00,8.187518861582e-02,7.421552127737e+00,5.392135091949e+07,2.802156637067e+10,1.332241767793e-07,0.000000000000e+00
7.000000000000e+00,2.211138443048e+03,6.204143540598e-02,8.307697273998e+00,8.204370620624e-02,7.421720645327e+00,5.366982343774e+07,2.802149670140e+10,1.332241767793e-07,0.000000000000e+00
7.100000000000e+00,2.159257720469e+03,6.118444540153e-02,8.306840283994e+00,8.221165288794e-02,7.421888592009e+00,5.343645078576e+07,2.802142755436e+10,1.332241767793e-07,0.000000000000e+00
7.200000000000e+00,2.110659245507e+03,6.037404100898e-02,8.306029879601e+00,8.237903566097e-02,7.422055974782e+00,5.322002390613e+07,2.802135895620e+10,1.332241767793e-07,0.000000000000e+00
7.300000000000e+00,2.064507243488e+03,5.959706663044e-02,8.305252905223e+00,8.254600000021e-02,7.422222939121e+00,5.301571481129e+07,2.802129076722e+10,1.332241767793e-07,0.000000000000e+00
7.400000000000e+00,2.021819143134e+03,5.887262929755e-02,8.304528467890e+00,8.271229520827e-02,7.422389234329e+00,5.283025742844e+07,2.802122318353e+10,1.332241767793e-07,0.000000000000e+00
7.500000000000e+00,1.981774846212e+03,5.818736592500e-02,8.303843204517e+00,8.287805477477e-02,7.422554993896e+00,5.265891397926e+07,2.802115590035e+10,1.332241767793e-07,0.000000000000e+00
7.600000000000e+00,1.944188698071e+03,5.753912890481e-02,8.303194967497e+00,8.304329287536e-02,7.422720231997e+00,5.250062543188e+07,2.802108909381e+10,1.332241767793e-07,0.000000000000e+00
7.700000000000e+00,1.908894190227e+03,5.692590544594e-02,8.302581744038e+00,8.320801763871e-02,7.422884956760e+00,5.235456627851e+07,2.802102276407e+10,1.332241767793e-07,0.000000000000e+00
7.800000000000e+00,1.875300141260e+03,5.633787157201e-02,8.301993710164e+00,8.337235360456e-02,7.423049292726e+00,5.221727874704e+07,2.802095677837e+10,1.332241767793e-07,0.000000000000e+00
7.900000000000e+00,1.844160325484e+03,5.578947777257e-02,8.301445316365e+00,8.353607368729e-02,7.423213012809e+00,5.209363527642e+07,2.802089133814e+10,1.332241767793e-07,0.000000000000e+00
8.000000000000e+00,1.814893406284e+03,5.527073061127e-02,8.300926569204e+00,8.369929906693e-02,7.423376238188e+00,5.198010333191e+07,2.802082632234e+10,1.332241767793e-07,0.000000000000e+00
